date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,home,Detroit,3,3.0,W,4,7.0
10/25,away,Orlando,17,6.0,W,12,18.0
10/27,home,Atlanta,11,2.5,W,5,7.5
10/29,home,Sacramento,28,-4.5,W,13,8.5
10/31,home,New York,5,5.0,W,10,15.0
11/02,away,New York,5,8.0,L,12,-4.0
11/04,home,Philadelphia,19,-1.5,W,2,0.5
11/07,away,Milwaukee,25,4.5,L,16,-11.5
11/08,away,Cleveland,8,8.5,L,6,2.5
11/10,home,San Antonio,2,5.5,L,4,1.5
11/12,away,Detroit,3,-2.5,L,11,-13.5
11/16,away,Utah,27,-4.5,L,3,-7.5
11/17,away,Denver,7,13.5,W,3,16.5
11/19,away,Portland,20,-3.5,W,1,-2.5
11/21,home,Miami,13,-2.5,L,36,-38.5
11/22,home,Washington,30,-12.5,W,1,-11.5
11/24,away,New Orleans,21,-4.5,L,13,-17.5
11/28,away,Charlotte,10,-2.5,L,7,-9.5
11/29,away,Indiana,26,-2.5,L,2,-4.5
12/01,away,Orlando,17,9.5,L,5,4.5
12/03,home,Brooklyn,29,-7.5,L,10,-17.5
12/05,home,Indiana,26,-4.5,L,15,-19.5
12/07,home,Golden State,18,1.5,L,32,-30.5
12/12,away,Charlotte,10,-2.5,W,3,0.5
12/14,home,New Orleans,21,-4.5,L,10,-14.5
12/17,home,Cleveland,8,5.5,W,16,21.5
12/19,away,Cleveland,8,4.5,W,11,15.5
12/21,away,Atlanta,11,4.5,W,2,6.5
12/23,away,Atlanta,11,3.5,W,3,6.5
12/26,home,Philadelphia,19,1.5,W,7,8.5
12/27,home,Milwaukee,25,-2.5,L,9,-11.5
12/29,home,Minnesota,9,6.5,L,35,-28.5
12/31,home,New Orleans,21,-1.5,W,16,14.5
01/02,home,Orlando,17,4.5,W,7,11.5
01/03,home,Charlotte,10,-1.5,L,13,-14.5
01/05,away,Boston,4,10.5,L,14,-3.5
01/07,away,Detroit,3,7.5,L,15,-7.5
01/10,home,Dallas,24,-3.5,W,18,14.5
01/13,away,Houston,6,12.5,L,6,6.5
01/14,home,Utah,27,-5.5,W,2,-3.5
01/16,away,Brooklyn,29,1.5,L,3,-1.5
01/18,home,Brooklyn,29,-7.5,W,22,14.5
01/20,home,LA Clippers,15,-2.5,W,28,25.5
01/22,away,Minnesota,9,9.5,W,5,14.5
01/24,home,Boston,4,3.5,W,3,6.5
01/26,home,LA Lakers,12,1.5,L,11,-9.5
01/28,away,Indiana,26,-2.0,L,3,-5.0
01/29,home,Miami,13,2.5,L,3,-0.5
01/31,away,Miami,13,5.5,W,7,12.5
02/01,away,Miami,13,5.5,L,43,-37.5
02/03,away,Milwaukee,25,-1.5,L,16,-17.5
02/05,away,Toronto,14,7.5,L,16,-8.5
02/07,home,Denver,7,9.5,L,16,-6.5
02/09,away,Brooklyn,29,-3.5,L,8,-11.5
02/11,away,Boston,4,13.5,L,19,-5.5
02/19,home,Toronto,14,5.5,L,9,-3.5
02/21,home,Detroit,3,10.5,L,16,-5.5
02/22,home,New York,5,9.5,L,6,3.5
02/24,home,Charlotte,10,8.5,L,32,-23.5
02/26,home,Portland,20,4.5,L,9,-4.5
03/01,home,Milwaukee,25,2.5,W,23,25.5
03/03,home,Okla City,1,9.5,L,8,1.5
03/05,away,Phoenix,16,10.5,W,2,12.5
03/08,away,Sacramento,28,-4.5,L,16,-20.5
03/10,away,Golden State,18,5.5,W,6,11.5
03/12,away,LA Lakers,12,11.5,L,12,-0.5
03/13,away,LA Clippers,15,13.5,L,11,2.5
03/16,home,Memphis,22,-7.5,W,25,17.5
03/18,home,Toronto,14,7.5,L,30,-22.5
03/19,home,Cleveland,8,9.5,L,5,4.5
03/23,home,Houston,6,8.5,W,8,16.5
03/25,away,Philadelphia,19,6.5,L,20,-13.5
03/27,away,Okla City,1,18.5,L,18,0.5
03/28,away,Memphis,22,-5.5,L,1,-6.5
03/30,away,San Antonio,2,17.5,L,15,2.5
04/01,home,Indiana,26,-3.5,L,19,-22.5
04/03,away,New York,5,14.5,L,40,-25.5
04/05,home,Phoenix,16,10.5,L,10,0.5
