date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/23,home,Okla City,1,7.5,L,6,1.5
10/25,away,Memphis,21,2.0,L,25,-23.0
10/26,away,Minnesota,9,12.0,L,4,8.0
10/29,away,Dallas,24,5.5,L,2,3.5
10/31,home,Atlanta,11,2.5,L,20,-17.5
11/01,home,Golden State,17,11.0,W,5,16.0
11/03,home,Milwaukee,25,6.5,L,2,4.5
11/05,home,Brooklyn,29,-6.5,L,9,-15.5
11/08,away,Denver,7,9.5,L,17,-7.5
11/09,away,Golden State,17,12.5,L,31,-18.5
11/11,away,Utah,27,-2.5,L,24,-26.5
11/13,away,Phoenix,16,3.5,L,35,-31.5
11/15,home,Toronto,13,6.5,L,18,-11.5
11/17,away,Detroit,3,8.5,L,15,-6.5
11/19,home,Charlotte,10,1.5,W,9,10.5
11/21,away,Cleveland,8,13.5,L,11,2.5
11/24,home,Detroit,3,9.5,L,5,4.5
11/26,away,Toronto,13,10.5,L,2,8.5
11/28,home,Washington,30,-6.5,W,33,26.5
11/29,home,Chicago,23,2.5,W,2,4.5
12/01,home,Cleveland,8,4.5,L,16,-11.5
12/03,home,Denver,7,8.5,L,15,-6.5
12/05,away,Chicago,23,4.5,W,15,19.5
12/08,home,Sacramento,28,-3.5,W,11,7.5
12/12,away,Philadelphia,19,5.5,L,10,-4.5
12/14,home,Washington,30,-10.5,L,19,-29.5
12/18,home,New York,5,3.5,L,1,2.5
12/20,away,New Orleans,22,2.5,L,19,-16.5
12/22,away,Boston,4,11.5,L,8,3.5
12/23,home,Milwaukee,25,1.5,L,17,-15.5
12/26,home,Boston,4,8.5,L,18,-9.5
12/27,away,Miami,14,6.5,L,26,-19.5
12/29,away,Houston,6,12.5,L,7,5.5
12/31,home,Orlando,18,4.5,L,2,2.5
01/02,home,San Antonio,2,5.5,L,10,-4.5
01/04,away,Orlando,18,6.5,L,8,-1.5
01/06,home,Cleveland,8,6.5,L,4,2.5
01/08,away,Charlotte,10,4.5,W,2,6.5
01/10,home,Miami,14,6.5,W,24,30.5
01/12,home,Boston,4,5.5,W,2,7.5
01/14,home,Toronto,13,-1.5,L,14,-15.5
01/16,home,New Orleans,22,-4.5,W,8,3.5
01/17,away,Detroit,3,15.5,L,43,-27.5
01/19,away,Philadelphia,19,6.5,L,9,-2.5
01/21,away,Boston,4,10.5,L,15,-4.5
01/23,away,Okla City,1,15.5,W,3,18.5
01/26,away,Atlanta,11,5.5,L,16,-10.5
01/28,home,Chicago,23,2.0,W,3,5.0
01/31,home,Atlanta,11,1.5,W,5,6.5
02/02,home,Houston,6,6.5,L,4,2.5
02/03,home,Utah,27,2.5,L,9,-6.5
02/06,away,Milwaukee,25,-1.5,L,6,-7.5
02/08,away,Toronto,13,8.5,L,18,-9.5
02/10,away,New York,5,11.5,W,3,14.5
02/11,away,Brooklyn,29,6.5,W,5,11.5
02/19,away,Washington,30,-1.5,L,7,-8.5
02/20,away,Washington,30,1.5,L,13,-11.5
02/22,home,Dallas,24,1.5,L,4,-2.5
02/24,home,Philadelphia,19,10.5,L,21,-10.5
02/26,home,Charlotte,10,12.5,L,24,-11.5
03/01,home,Memphis,21,-1.5,L,19,-20.5
03/04,away,LA Clippers,15,11.5,L,23,-11.5
03/06,away,LA Lakers,12,9.5,L,11,-1.5
03/08,away,Portland,20,9.5,L,20,-10.5
03/10,away,Sacramento,28,3.5,L,5,-1.5
03/12,home,Phoenix,16,8.5,L,15,-6.5
03/13,home,New York,5,12.5,L,9,3.5
03/15,away,Milwaukee,25,7.5,L,11,-3.5
03/17,away,New York,5,13.5,L,26,-12.5
03/18,home,Portland,20,12.5,L,8,4.5
03/21,away,San Antonio,2,16.5,L,15,1.5
03/23,away,Orlando,18,10.5,W,2,12.5
03/25,home,LA Lakers,12,8.5,L,7,1.5
03/27,home,LA Clippers,15,8.5,L,1,7.5
03/29,home,Miami,14,8.5,W,17,25.5
04/01,away,Chicago,23,3.5,W,19,22.5
04/03,away,Charlotte,10,15.5,L,21,-5.5
