date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/21,home,Golden State,13,2.5,L,10,-7.5
10/24,home,Minnesota,7,1.5,W,18,19.5
10/26,away,Sacramento,24,3.5,W,7,10.5
10/27,home,Portland,17,3.0,L,14,-11.0
10/29,away,Minnesota,7,7.5,W,1,8.5
10/31,away,Memphis,19,-1.5,W,5,3.5
11/02,home,Miami,12,-5.0,W,10,5.0
11/03,away,Portland,17,9.5,W,8,17.5
11/05,home,San Antonio,8,1.5,W,2,3.5
11/08,away,Atlanta,15,-5.5,L,20,-25.5
11/10,away,Charlotte,25,-8.5,W,10,1.5
11/12,away,Okla City,1,8.5,L,29,-20.5
11/14,away,New Orleans,28,-9.5,W,14,4.5
11/15,away,Milwaukee,21,1.5,W,24,25.5
11/18,home,Utah,27,-13.5,W,14,0.5
11/23,away,Utah,27,-9.5,W,2,-7.5
11/25,home,LA Clippers,20,-6.5,W,17,10.5
11/28,home,Dallas,22,-9.5,W,10,0.5
11/30,home,New Orleans,28,-15.5,W,12,-3.5
12/01,home,Phoenix,16,-5.5,L,17,-22.5
12/04,away,Toronto,14,2.5,W,3,5.5
