date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,home,Washington,30,-10.0,W,13,3.0
10/24,away,Toronto,15,2.0,W,6,8.0
10/26,away,Cleveland,6,6.5,L,5,1.5
10/28,home,New York,5,1.5,W,10,11.5
10/30,home,Golden State,18,7.5,W,10,17.5
11/01,home,Sacramento,28,-6.5,L,2,-8.5
11/03,away,Indiana,26,-6.5,W,2,-4.5
11/04,away,Toronto,15,2.5,L,28,-25.5
11/07,home,Chicago,23,-4.5,W,16,11.5
11/09,home,Houston,8,3.5,L,7,-3.5
11/10,away,Dallas,24,-3.5,W,2,-1.5
11/12,away,Charlotte,10,-2.5,L,11,-13.5
11/14,home,Charlotte,10,-9.5,W,13,3.5
11/15,home,LA Lakers,11,-1.5,L,24,-25.5
11/17,away,Cleveland,6,5.5,L,12,-6.5
11/20,home,Philadelphia,19,1.5,L,9,-7.5
11/22,home,Detroit,3,8.5,L,13,-4.5
11/24,home,Portland,20,-1.5,L,12,-13.5
11/26,away,Miami,12,10.5,L,3,7.5
11/28,away,New York,5,7.5,L,9,-1.5
11/29,home,Brooklyn,29,-11.5,W,17,5.5
12/01,away,Washington,30,-10.5,L,3,-13.5
12/03,home,Detroit,3,4.5,W,4,8.5
12/05,home,Philadelphia,19,1.5,L,15,-13.5
12/06,away,Detroit,3,12.5,L,12,0.5
12/11,home,Boston,4,9.5,W,15,24.5
12/14,away,Brooklyn,29,-2.5,L,45,-47.5
12/18,home,Toronto,15,4.5,L,6,-1.5
12/21,away,Minnesota,9,11.5,L,3,8.5
12/23,away,Indiana,26,-1.5,W,17,15.5
12/26,away,Memphis,21,5.5,L,21,-15.5
12/27,away,Chicago,23,2.5,W,9,11.5
12/29,away,Charlotte,10,-3.5,W,10,6.5
12/31,home,Washington,30,-10.5,L,1,-11.5
01/02,home,Charlotte,10,-5.5,W,1,-4.5
01/04,away,Sacramento,28,-6.5,W,17,10.5
01/07,away,Golden State,18,6.5,L,7,-0.5
01/09,away,LA Lakers,11,3.5,W,4,7.5
01/11,away,Denver,7,-6.5,L,4,-10.5
01/13,home,Minnesota,9,-1.5,L,33,-34.5
01/15,away,San Antonio,2,7.5,L,18,-10.5
01/19,away,Atlanta,13,1.5,W,2,3.5
01/21,home,Okla City,1,12.5,L,20,-7.5
01/23,home,Denver,7,-7.5,L,2,-9.5
01/27,away,Philadelphia,19,9.5,L,17,-7.5
01/29,away,Washington,30,-2.5,L,10,-12.5
02/01,away,Boston,4,13.5,L,28,-14.5
02/03,home,Chicago,23,1.5,W,16,17.5
02/04,home,New Orleans,22,4.5,W,4,8.5
02/06,home,Indiana,26,1.5,W,6,7.5
02/09,away,Orlando,17,9.5,L,19,-9.5
02/11,away,Orlando,17,10.5,W,8,18.5
02/12,away,Okla City,1,13.5,W,17,30.5
02/20,away,New Orleans,22,4.5,W,21,25.5
02/22,home,Toronto,15,4.5,L,28,-23.5
02/24,home,Miami,12,6.5,W,11,17.5
02/25,home,Cleveland,6,3.5,W,2,5.5
02/27,home,New York,5,8.5,L,29,-20.5
03/01,away,Chicago,23,-2.5,L,23,-25.5
03/02,home,Boston,4,2.5,L,27,-24.5
03/04,home,Atlanta,13,-1.5,L,18,-19.5
03/07,home,Utah,27,-9.5,W,14,4.5
03/08,home,Orlando,17,6.5,L,39,-32.5
03/10,home,Phoenix,16,2.5,L,15,-12.5
03/12,away,Miami,12,6.5,L,7,-0.5
03/14,away,Atlanta,13,10.5,L,23,-12.5
03/15,home,Indiana,26,-7.5,W,11,3.5
03/17,home,Cleveland,6,12.5,L,7,5.5
03/19,away,Utah,27,-6.5,L,32,-38.5
03/21,away,Phoenix,16,11.5,W,3,14.5
03/23,away,LA Clippers,14,13.5,L,33,-19.5
03/25,away,Portland,20,14.5,L,31,-16.5
03/28,home,San Antonio,2,17.5,L,32,-14.5
03/29,home,LA Clippers,14,17.5,L,14,3.5
