date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,home,Cleveland,9,1.5,W,8,9.5
10/24,home,Boston,4,-4.0,W,10,6.0
10/26,away,Miami,10,-3.5,L,8,-11.5
10/28,away,Milwaukee,21,-1.5,L,10,-11.5
10/31,away,Chicago,24,-5.0,L,10,-15.0
11/02,home,Chicago,24,-8.0,W,12,4.0
11/03,home,Washington,30,-13.0,W,17,4.0
11/05,home,Minnesota,8,-3.5,W,23,19.5
11/09,home,Brooklyn,25,-15.5,W,36,20.5
11/11,home,Memphis,19,-9.5,W,13,3.5
11/12,home,Orlando,11,-3.5,L,17,-20.5
11/14,home,Miami,10,-6.5,W,8,1.5
11/17,away,Miami,10,1.5,L,2,-0.5
11/19,away,Dallas,22,-8.5,W,2,-6.5
11/22,away,Orlando,11,1.5,L,12,-10.5
11/24,away,Brooklyn,25,-12.5,W,13,0.5
11/26,away,Charlotte,23,-6.5,W,28,21.5
11/28,home,Milwaukee,21,-7.5,W,9,1.5
11/30,home,Toronto,16,-8.5,W,22,13.5
12/02,away,Boston,4,-1.5,L,6,-7.5
12/03,home,Charlotte,23,-9.5,W,15,5.5
12/05,home,Utah,27,-15.5,W,34,18.5
12/07,home,Orlando,11,-1.5,W,6,4.5
12/09,away,Toronto,16,-6.5,W,16,9.5
12/13,neutral,Orlando,11,-4.5,W,12,7.5
12/16,neutral,San Antonio,6,-2.5,W,11,8.5
12/18,away,Indiana,28,-3.5,W,1,-2.5
12/19,home,Philadelphia,15,-6.5,L,9,-15.5
12/21,home,Miami,10,-7.5,W,7,-0.5
12/23,away,Minnesota,8,7.5,L,11,-3.5
12/25,home,Cleveland,9,-4.5,W,2,-2.5
12/27,away,Atlanta,17,-6.5,W,3,-3.5
12/29,away,New Orleans,26,-8.5,W,5,-3.5
12/31,away,San Antonio,6,3.5,L,2,1.5
01/02,home,Atlanta,17,-4.5,L,12,-16.5
01/03,home,Philadelphia,15,-3.5,L,11,-14.5
