date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,home,Miami,14,-8.0,W,4,-4.0
10/24,home,Atlanta,13,-6.0,L,4,-10.0
10/25,home,Chicago,23,-6.0,L,12,-18.0
10/27,away,Philadelphia,18,-6.5,L,12,-18.5
10/29,away,Detroit,4,-1.5,L,19,-20.5
10/30,away,Charlotte,10,-3.5,W,16,12.5
11/01,away,Washington,30,-9.0,W,31,22.0
11/04,away,Atlanta,13,-3.5,L,15,-18.5
11/07,home,Boston,3,-3.5,W,13,9.5
11/09,home,Boston,3,-3.5,L,4,-7.5
11/10,home,Portland,20,-1.5,W,3,1.5
11/12,away,New York,5,3.5,W,17,20.5
11/14,home,Brooklyn,29,-14.5,W,7,-7.5
11/16,away,Houston,7,7.5,L,4,3.5
11/18,home,Golden State,19,2.5,W,8,10.5
11/20,home,LA Clippers,16,-6.5,W,28,21.5
11/22,home,New York,5,-1.5,W,12,10.5
11/23,away,Boston,3,4.5,L,9,-4.5
11/25,away,Philadelphia,18,-4.5,W,41,36.5
11/28,away,Detroit,4,3.5,W,3,6.5
12/01,home,Chicago,23,-9.5,W,5,-4.5
12/03,home,San Antonio,2,-8.5,L,2,-10.5
12/05,home,Miami,14,-6.5,W,1,-5.5
12/07,away,New York,5,1.5,L,6,-4.5
12/09,home,Miami,14,-1.5,W,9,7.5
12/13,neutral,New York,5,4.5,L,12,-7.5
12/18,away,Denver,6,6.5,L,11,-4.5
12/20,away,Utah,27,-7.5,W,1,-6.5
12/22,away,Golden State,19,6.5,L,23,-16.5
12/23,away,Portland,20,-1.5,W,4,2.5
12/26,home,Charlotte,10,-5.5,L,15,-20.5
12/27,home,Denver,6,3.5,W,1,4.5
12/29,away,Toronto,12,-1.5,L,1,-2.5
12/31,away,Indiana,26,-4.5,W,2,-2.5
01/02,away,Chicago,23,-4.5,L,7,-11.5
01/04,home,Indiana,26,-6.5,W,8,1.5
01/06,away,Washington,30,-7.5,L,8,-15.5
01/07,away,Brooklyn,29,-1.5,W,1,-0.5
01/09,home,Philadelphia,18,3.5,L,12,-8.5
01/11,home,New Orleans,21,-7.5,W,10,2.5
01/15,neutral,Memphis,24,-5.5,W,7,1.5
01/18,neutral,Memphis,24,-3.5,L,17,-20.5
01/22,home,Charlotte,10,-4.5,L,27,-31.5
01/24,home,Cleveland,8,-1.0,L,14,-15.0
01/26,away,Cleveland,8,5.0,L,16,-11.0
01/28,away,Miami,14,3.5,W,9,12.5
01/30,home,Toronto,12,-2.5,W,10,7.5
02/01,away,San Antonio,2,4.5,L,9,-4.5
02/03,away,Okla City,1,11.5,L,36,-24.5
02/05,home,Brooklyn,29,-9.5,W,20,10.5
02/07,home,Utah,27,-7.5,W,3,-4.5
02/09,home,Milwaukee,25,-9.5,W,19,9.5
02/11,home,Milwaukee,25,-10.5,L,8,-18.5
02/19,away,Sacramento,28,-8.5,W,37,28.5
02/21,away,Phoenix,17,3.5,L,3,0.5
02/22,away,LA Clippers,16,4.5,W,2,6.5
02/24,away,LA Lakers,11,6.5,W,1,7.5
02/26,home,Houston,7,2.5,L,5,-2.5
03/01,home,Detroit,4,5.5,L,14,-8.5
03/03,home,Washington,30,-16.5,W,17,0.5
03/05,home,Dallas,22,-8.5,W,1,-7.5
03/07,away,Minnesota,9,6.5,W,27,33.5
03/08,away,Milwaukee,25,-6.5,W,39,32.5
03/11,home,Cleveland,8,3.5,W,6,9.5
03/12,home,Washington,30,-13.5,W,5,-8.5
03/14,away,Miami,14,4.5,W,4,8.5
03/16,away,Atlanta,13,3.5,L,12,-8.5
03/17,home,Okla City,1,10.5,L,5,5.5
03/19,away,Charlotte,10,5.5,L,19,-13.5
03/21,home,LA Lakers,11,3.5,L,1,2.5
03/23,home,Indiana,26,-10.5,L,2,-12.5
03/24,away,Cleveland,8,10.5,L,5,5.5
03/26,home,Sacramento,28,-15.5,W,4,-11.5
03/29,away,Toronto,12,1.5,L,52,-50.5
03/31,home,Phoenix,17,-2.5,W,4,1.5
04/01,home,Atlanta,13,3.5,L,29,-25.5
04/03,away,Dallas,22,-6.5,W,11,4.5
04/05,away,New Orleans,21,-5.5,W,4,-1.5
04/06,home,Detroit,4,1.5,W,16,17.5
04/08,home,Minnesota,9,-11.5,W,12,0.5
04/10,away,Chicago,23,-16.5,W,24,7.5
04/12,away,Boston,3,-12.5,L,5,-17.5
04/15,away,Philadelphia,18,1.5,L,12,-10.5
04/17,home,Charlotte,10,2.5,W,31,33.5
04/19,away,Detroit,4,8.5,W,11,19.5
04/22,away,Detroit,4,8.5,L,15,-6.5
04/25,home,Detroit,4,2.5,W,8,10.5
04/27,home,Detroit,4,3.5,W,6,9.5
04/29,away,Detroit,4,10.5,L,7,3.5
