date,home_away,opponent,opp_rank,spread,result,margin,ats_diff
10/22,away,Dallas,23,3.5,W,33,36.5
10/24,away,New Orleans,25,-4.0,W,4,0.0
10/26,home,Brooklyn,28,-11.0,W,11,0.0
10/27,home,Toronto,13,-4.5,W,18,13.5
10/30,home,Miami,10,-5.5,W,6,0.5
11/02,away,Phoenix,12,-5.0,L,12,-17.0
11/05,away,LA Lakers,16,-1.5,L,2,-3.5
11/07,home,Houston,5,4.5,W,11,15.5
11/08,home,New Orleans,25,-10.5,W,7,-3.5
11/10,away,Chicago,24,-5.5,W,4,-1.5
11/12,home,Golden State,11,-3.5,L,5,-8.5
11/14,home,Golden State,11,-2.5,L,1,-3.5
11/16,home,Sacramento,29,-5.5,W,13,7.5
11/18,home,Memphis,20,-6.5,W,10,3.5
11/20,home,Atlanta,19,-1.5,W,9,7.5
11/23,away,Phoenix,12,3.5,L,9,-5.5
11/26,away,Portland,21,1.5,W,13,14.5
11/28,away,Denver,8,7.5,W,3,10.5
11/30,away,Minnesota,9,4.5,L,13,-8.5
12/02,home,Memphis,20,-5.5,W,7,1.5
12/03,away,Orlando,14,8.5,W,2,10.5
12/05,away,Cleveland,7,5.5,L,13,-7.5
12/08,away,New Orleans,25,-8.5,W,3,-5.5
12/10,away,LA Lakers,16,7.5,W,13,20.5
12/13,neutral,Okla City,1,11.5,W,2,13.5
12/16,neutral,New York,6,2.5,L,11,-8.5
12/18,home,Washington,30,-15.5,W,25,9.5
12/19,away,Atlanta,19,-3.5,W,28,24.5
12/21,away,Washington,30,-16.5,W,11,-5.5
12/23,home,Okla City,1,6.5,W,20,26.5
12/25,away,Okla City,1,9.5,W,15,24.5
12/27,home,Utah,27,-14.5,L,13,-27.5
12/29,home,Cleveland,7,-3.5,L,12,-15.5
12/31,home,New York,6,-3.5,W,2,-1.5
01/02,away,Indiana,26,-5.5,W,10,4.5
01/03,home,Portland,21,-8.5,L,5,-13.5
01/06,away,Memphis,20,-5.5,L,1,-6.5
01/07,home,LA Lakers,16,-8.5,W,16,7.5
01/10,away,Boston,4,-1.5,W,5,3.5
01/11,away,Minnesota,9,2.5,L,1,1.5
01/13,away,Okla City,1,8.5,L,21,-12.5
01/15,home,Milwaukee,22,-7.5,W,18,10.5
01/17,home,Minnesota,9,-4.5,W,3,-1.5
01/19,home,Utah,27,-16.5,W,13,-3.5
01/20,away,Houston,5,4.5,L,5,-0.5
01/22,away,Utah,27,-12.5,W,17,4.5
01/25,home,New Orleans,25,-11.5,L,9,-20.5
01/28,away,Houston,5,2.5,W,12,14.5
01/31,away,Charlotte,18,-3.5,L,5,-8.5
02/01,home,Orlando,14,-4.5,W,9,4.5
02/04,home,Okla City,1,-9.5,W,10,0.5
02/05,away,Dallas,23,-7.5,W,12,4.5
02/07,home,Dallas,23,-11.5,W,13,1.5
02/10,away,LA Lakers,16,-13.5,W,28,14.5
02/11,away,Golden State,11,-7.5,W,13,5.5
02/19,home,Phoenix,12,-7.5,W,27,19.5
02/21,home,Sacramento,29,-18.5,W,17,-1.5
